"product_category_name","seller_city","seller_state","transaction_count","total_revenue","avg_price_per_item","unique_products_sold"
"cama_mesa_banho","ibitinga","SP","6039","503829.64","83.43","1659"
"cool_stuff","sao paulo","SP","1970","286211.73","145.29","287"
"moveis_decoracao","sao paulo","SP","2912","259877.64","89.24","568"
"beleza_saude","sao paulo","SP","1815","251521.79","138.58","646"
"esporte_lazer","sao paulo","SP","1900","203593.68","107.15","694"
"relogios_presentes","guariba","SP","1002","201071.73","200.67","79"
"moveis_escritorio","itaquaquecetuba","SP","1378","197041.47","142.99","170"
"relogios_presentes","sumare","SP","579","192092.74","331.77","284"
"relogios_presentes","barueri","SP","314","169768.06","540.66","176"
"pcs","lauro de freitas","BA","153","166871.75","1090.67","14"
"utilidades_domesticas","sao paulo","SP","1938","158139.02","81.60","588"
"informatica_acessorios","sao paulo","SP","1297","155377.66","119.80","409"
"cama_mesa_banho","sao paulo","SP","1279","153057.79","119.67","265"
"cama_mesa_banho","piracicaba","SP","1277","152307.80","119.27","209"
"informatica_acessorios","maringa","PR","1296","151022.40","116.53","177"
"relogios_presentes","sao paulo","SP","1719","133922.84","77.91","256"
"brinquedos","sao paulo","SP","1285","120634.48","93.88","406"
"ferramentas_jardim","sao jose do rio preto","SP","1884","103899.43","55.15","8"
"automotivo","sao paulo","SP","796","100757.16","126.58","400"
"telefonia","sao paulo","SP","2930","99102.11","33.82","743"
"beleza_saude","curitiba","PR","324","95016.00","293.26","62"
"relogios_presentes","ribeirao preto","SP","508","90112.07","177.39","45"
"moveis_decoracao","curitiba","PR","719","88514.18","123.11","278"
"brinquedos","rio de janeiro","RJ","417","86964.53","208.55","140"
"papelaria","campo limpo paulista","SP","834","80133.80","96.08","148"
"beleza_saude","teresopolis","RJ","176","79454.45","451.45","56"
"bebes","sao paulo","SP","617","76007.98","123.19","211"
"bebes","santa barbara d´oeste","SP","105","74509.92","709.62","22"
"perfumaria","petropolis","RJ","384","72750.20","189.45","74"
"moveis_decoracao","ibitinga","SP","1075","72618.79","67.55","414"
"beleza_saude","santo andre","SP","1143","72279.65","63.24","35"
"automotivo","guarulhos","SP","472","69665.36","147.60","58"
"esporte_lazer","curitiba","PR","497","69122.53","139.08","195"
"informatica_acessorios","sao jose dos campos","SP","548","68530.76","125.06","127"
"fashion_bolsas_e_acessorios","sao paulo","SP","1002","67677.62","67.54","342"
"esporte_lazer","ribeirao preto","SP","514","67628.10","131.57","202"
"beleza_saude","sao bernardo do campo","SP","237","66967.36","282.56","18"
"papelaria","sao paulo","SP","663","66643.35","100.52","318"
"perfumaria","campinas","SP","321","65450.61","203.90","78"
"ferramentas_jardim","sao paulo","SP","400","60684.39","151.71","152"
"beleza_saude","bombinhas","SC","94","60130.60","639.69","20"
"telefonia","lauro de freitas","BA","257","55904.30","217.53","9"
